Flight,Time,Destination,Carrier,Terminal,Gate,Status
BK 2081,0​3​:​0​0,Sharm El Sheikh,Bukovyna Airlines,D,D12,Take Off at 0​3​:​1​3
7W 7051,0​3​:​3​0,Sharm El Sheikh,Wind Rose,D,D13,Take Off at 0​3​:​5​2
PS 5201,0​3​:​3​0,Sharm El Sheikh,Ukraine International Airlines,D,D4,Take Off at 0​3​:​4​2
QU 4431,0​5​:​0​0,Sharm El Sheikh,Azur Air Ukraine,D,D15,Take Off at 0​5​:​3​5
OK 917,0​5​:​0​5,Prague,CSA Czech Airlines,D,D5,Take Off at 0​6​:​2​0
QS 8917,0​5​:​0​5,Prague,Smart Wings,D,D5,Take Off at 0​6​:​2​0
AZ 4297,0​5​:​0​5,Prague,Alitaila,D,D5,Take Off at 0​6​:​2​0
PS 9717,0​5​:​0​5,Prague,Ukraine International Airlines,D,D5,Take Off at 0​6​:​2​0
LH 2547,0​5​:​4​5,Munich,Lufthansa,D,D7,Take Off at 0​6​:​1​2
LH 1493,0​6​:​0​0,Frankfurt,Lufthansa,D,D6,Take Off at 0​6​:​1​5
UA 9149,0​6​:​0​0,Frankfurt,United Air Lines Inc.,D,D6,Take Off at 0​6​:​1​5
AC 9594,0​6​:​0​0,Frankfurt,Air Canada,D,D6,Take Off at 0​6​:​1​5
QU 4433,0​6​:​3​0,Sharm El Sheikh,Azur Air Ukraine,D,D14,Take Off at 0​7​:​1​0
OS 668,0​6​:​5​5,Vienna,Austrian Airlines,D,D8,Take Off at 0​7​:​0​5
PS 9814,0​6​:​5​5,Vienna,Ukraine International Airlines,D,D8,Take Off at 0​7​:​0​5
PS 781,0​7​:​0​0,Tel Aviv,Ukraine International Airlines,D,D1,Take Off at 0​7​:​1​6
PQ 311,0​7​:​2​5,Haikou,Skyup Airlines,D,D15,Expected at 1​7​:​0​0
PS 7211,0​7​:​3​0,Sharm El Sheikh,Ukraine International Airlines,D,D12,Take Off at 0​7​:​5​2
PS 6013,0​8​:​0​0,Sharm El Sheikh,Ukraine International Airlines,D,D7,Check-in (10-12)
7W 755,0​9​:​0​5,Sofia,Wind Rose,D,D16,Take Off at 0​9​:​1​4
PS 9055,0​9​:​0​5,Sofia,Ukraine International Airlines,D,D16,Take Off at 0​9​:​1​4
B2 844,0​9​:​2​0,Minsk,Belavia,D,D2,Take Off at 0​9​:​2​4
EY 8473,0​9​:​2​0,Minsk,Etihad Airways,D,D2,Take Off at 0​9​:​2​4
PS 185,0​9​:​2​0,Riga,Ukraine International Airlines,D,D8,Take Off at 0​9​:​2​7
TP 8224,0​9​:​2​5,Vienna,TAP Portugal,D,D10,Take Off at 0​9​:​3​0
PS 845,0​9​:​2​5,Vienna,Ukraine International Airlines,D,D10,Take Off at 0​9​:​3​0
TP 6753,0​9​:​2​5,Berlin,TAP Portugal,D,D5,Take Off at 0​9​:​4​5
PS 423,0​9​:​2​5,Berlin,Ukraine International Airlines,D,D5,Take Off at 0​9​:​4​5
OS 7172,0​9​:​2​5,Vienna,Austrian Airlines,D,D10,Take Off at 0​9​:​3​0
PS 177,0​9​:​2​5,Vilnius,Ukraine International Airlines,D,D13,Take Off at 1​0​:​0​1
PS 711,0​9​:​3​0,Istanbul,Ukraine International Airlines,D,D7,Take Off at 0​9​:​4​6
TK 8811,0​9​:​3​0,Istanbul,Turkish Airlines,D,D7,Take Off at 0​9​:​4​6
BT 401,0​9​:​4​0,Riga,Air Baltic,D,D16,Take Off at 0​9​:​5​4
PS 415,0​9​:​4​0,Munich,Ukraine International Airlines,D,D1,Take Off at 0​9​:​5​0
TP 8242,0​9​:​4​0,Munich,TAP Portugal,D,D1,Take Off at 0​9​:​5​0
PS 9001,0​9​:​4​0,Dnipro,Ukraine International Airlines,D,D20,Expected at 1​4​:​0​0
7W 101,0​9​:​4​0,Dnipro,Wind Rose,D,D20,Expected at 1​4​:​0​0
AF 3375,0​9​:​4​5,Paris,Air France,D,D4,Take Off at 1​0​:​3​3
PS 127,0​9​:​4​5,Paris,Ukraine International Airlines,D,D4,Take Off at 1​0​:​3​3
PS 889,0​9​:​4​5,Minsk,Ukraine International Airlines,D,D12,Take Off at 0​9​:​5​2
PS 151,0​9​:​5​0,Helsinki,Ukraine International Airlines,D,D14,Take Off at 1​0​:​1​5
PS 775,0​9​:​5​5,Tel Aviv,Ukraine International Airlines,D,D11,Take Off at 1​0​:​0​6
PS 111,1​0​:​0​0,London,Ukraine International Airlines,D,D8,Take Off at 1​0​:​1​9
TP 8238,1​0​:​0​0,Prague,TAP Portugal,D,D15,Take Off at 1​0​:​0​8
OK 4917,1​0​:​0​0,Prague,CSA Czech Airlines,D,D15,Take Off at 1​0​:​0​8
TP 8228,1​0​:​0​0,London,TAP Portugal,D,D8,Take Off at 1​0​:​1​9
PS 57,1​0​:​0​0,Odesa,Ukraine International Airlines,D,D18,Take Off at 1​0​:​2​2
PS 101,1​0​:​0​0,Amsterdam,Ukraine International Airlines,D,D9,Take Off at 1​0​:​1​4
TP 8240,1​0​:​0​0,Amsterdam,TAP Portugal,D,D9,Take Off at 1​0​:​1​4
PS 807,1​0​:​0​0,Prague,Ukraine International Airlines,D,D15,Take Off at 1​0​:​0​8
KL 3097,1​0​:​0​0,Amsterdam,KLM,D,D9,Take Off at 1​0​:​1​4
TP 8220,1​0​:​0​5,Rome,TAP Portugal,D,D13,Take Off at 1​0​:​1​3
PS 305,1​0​:​0​5,Rome,Ukraine International Airlines,D,D13,Take Off at 1​0​:​1​3
PS 79,1​0​:​1​0,Ivano-Frankivsk,Ukraine International Airlines,D,D19,Take Off at 1​0​:​1​7
PS 341,1​0​:​1​5,Larnaca,Ukraine International Airlines,D,D7,Take Off at 1​0​:​4​0
PS 613,1​0​:​1​5,Yerevan,Ukraine International Airlines,D,D16,Take Off at 1​2​:​3​4
PS 287,1​0​:​2​5,Beijing,Ukraine International Airlines,D,D10,Take Off at 1​0​:​2​6
TP 8210,1​0​:​3​0,Zurich,TAP Portugal,D,D12,Take Off at 1​0​:​5​2
PS 411,1​0​:​3​0,Dusseldorf,Ukraine International Airlines,D,D14,Take Off at 1​0​:​4​7
PS 471,1​0​:​3​0,Zurich,Ukraine International Airlines,D,D12,Take Off at 1​0​:​5​2
KL 3149,1​0​:​3​5,Lviv,KLM,D,D21,Take Off at 1​0​:​4​6
PS 35,1​0​:​3​5,Lviv,Ukraine International Airlines,D,D21,Take Off at 1​0​:​4​6
PS 311,1​0​:​4​0,Milan,Ukraine International Airlines,D,D15,Take Off at 1​0​:​5​4
TK 458,1​0​:​4​0,Istanbul,Turkish Airlines,D,D3,Take Off at 1​0​:​3​8
PS 9558,1​0​:​4​0,Istanbul,Ukraine International Airlines,D,D3,Take Off at 1​0​:​3​8
TP 8218,1​0​:​4​0,Milan,TAP Portugal,D,D15,Take Off at 1​0​:​5​4
PS 485,1​0​:​4​5,Geneva,Ukraine International Airlines,D,D9,Take Off at 1​0​:​5​0
PS 161,1​0​:​4​5,Copenhagen,Ukraine International Airlines,D,D13,Take Off at 1​1​:​5​8
TP 8214,1​0​:​4​5,Geneva,TAP Portugal,D,D9,Take Off at 1​0​:​5​0
TP 8212,1​0​:​5​0,Frankfurt,TAP Portugal,D,D16,Take Off at 1​1​:​0​3
PS 401,1​0​:​5​0,Frankfurt,Ukraine International Airlines,D,D16,Take Off at 1​1​:​0​3
SN 4016,1​0​:​5​5,Brussels,Brussels Airlines,D,D5,Take Off at 1​1​:​0​1
TP 8216,1​0​:​5​5,Brussels,TAP Portugal,D,D5,Take Off at 1​1​:​0​1
PS 779,1​0​:​5​5,Tel Aviv,Ukraine International Airlines,D,D11,Take Off at 1​1​:​0​5
PS 145,1​0​:​5​5,Brussels,Ukraine International Airlines,D,D5,Take Off at 1​1​:​0​1
PS 87,1​1​:​0​0,Zaporizhzhia,Ukraine International Airlines,D,D18,Take Off at 1​1​:​4​4
LY 2652,1​1​:​0​0,Tel Aviv,El Al - Israel Airlines,D,D2,Take Off at 1​1​:​1​5
PS 515,1​1​:​2​5,Tbilisi,Ukraine International Airlines,D,D6,Take Off at 1​1​:​3​6
PS 231,1​1​:​3​0,New York,Ukraine International Airlines,D,D1,Take Off at 1​1​:​5​3
A9 758,1​1​:​4​0,Tbilisi,Georgian Airways,D,D4,Take Off at 1​1​:​3​8
TK 8809,1​2​:​3​0,Istanbul,Turkish Airlines,D,D12,Take Off at 1​2​:​4​6
PS 713,1​2​:​3​0,Istanbul,Ukraine International Airlines,D,D12,Take Off at 1​2​:​4​6
QR 296,1​2​:​4​5,Doha,Qatar Airways Company,D,D8,Take Off at 1​3​:​0​3
YB 201,1​2​:​5​5,Beirut,Bravo Airways,D,D14,Take Off at 1​3​:​2​1
7W 7955,1​3​:​0​5,Sharm El Sheikh,Wind Rose,D,D13,Take Off at 1​3​:​1​9
OS 662,1​3​:​2​0,Vienna,Austrian Airlines,D,D4,Take Off at 1​3​:​3​9
PS 9816,1​3​:​2​0,Vienna,Ukraine International Airlines,D,D4,Take Off at 1​3​:​3​9
G9 261,1​3​:​3​0,Sharjah,Air Arabia,D,D7,Take Off at 1​3​:​3​2
AC 9208,1​3​:​5​0,Frankfurt,Air Canada,D,D5,Expected at 1​5​:​0​0
LH 1491,1​3​:​5​0,Frankfurt,Lufthansa,D,D5,Expected at 1​5​:​0​0
UA 9097,1​3​:​5​0,Frankfurt,United Air Lines Inc.,D,D5,Expected at 1​5​:​0​0
DL 9473,1​3​:​5​5,Amsterdam,Delta Air Lines,D,D3,Take Off at 1​3​:​5​2
PS 9386,1​3​:​5​5,Amsterdam,Ukraine International Airlines,D,D3,Take Off at 1​3​:​5​2
KL 1386,1​3​:​5​5,Amsterdam,KLM,D,D3,Take Off at 1​3​:​5​2
BA 883,1​4​:​0​0,London,British Airways,D,D1,Boarding Completed
TP 8237,1​4​:​1​0,Budapest,TAP Portugal,D,D12,Boarding Completed
PS 813,1​4​:​1​0,Budapest,Ukraine International Airlines,D,D12,Boarding Completed
EK 2354,1​4​:​2​5,Dubai,Emirates,D,D10,Scheduled
FZ 728,1​4​:​2​5,Dubai,Flydubai,D,D10,Scheduled
AF 1753,1​4​:​4​5,Paris,Air France,D,D3,Check-in (49-56)
PS 801,1​4​:​4​5,Warsaw,Ukraine International Airlines,D,D8,Boarding
TP 8232,1​4​:​4​5,Warsaw,TAP Portugal,D,D8,Boarding
FR 3138,1​4​:​4​5,Wroclaw,Ryanair,D,D9,Check-in (04-05)
KL 2388,1​4​:​4​5,Paris,KLM,D,D3,Check-in
PS 9263,1​4​:​4​5,Paris,Ukraine International Airlines,D,D3,Check-in
DL 8644,1​4​:​4​5,Paris,Delta Air Lines,D,D3,Check-in
PS 49,1​4​:​5​0,Kherson,Ukraine International Airlines,D,D18,Check-in
LO 752,1​4​:​5​0,Warsaw,LOT Polish Airlines,D,D4,Check-in (13-15)
IA 296,1​5​:​0​0,Baghdad,Iraqi Airways,D,D6,Check-in (31-32)
PS 25,1​5​:​0​0,Kharkiv,Ukraine International Airlines,D,D19,Check-in
BT 403,1​5​:​1​0,Riga,Air Baltic,D,D13,Check-in (55-56)
FR 3113,1​5​:​3​5,Poznan,Ryanair,D,D1,Check-in (04-05)
LH 2545,1​5​:​5​0,Munich,Lufthansa,D,D5,Check-in (37-41)
LO 754,1​7​:​5​5,Warsaw,LOT Polish Airlines,D,D4,Scheduled
7W 105,1​8​:​0​0,Dnipro,Wind Rose,D,D20,Scheduled
PS 9005,1​8​:​0​0,Dnipro,Ukraine International Airlines,D,D20,Scheduled
LH 1495,1​8​:​1​5,Frankfurt,Lufthansa,D,D5,Scheduled
B2 846,1​9​:​0​5,Minsk,Belavia,D,D2,Scheduled
PS 537,1​9​:​1​5,Almaty,Ukraine International Airlines,D,D3,Check-in (01-04)
PS 373,1​9​:​2​5,Dubai,Ukraine International Airlines,D,D14,Scheduled
PS 129,1​9​:​3​0,Paris,Ukraine International Airlines,D,D6,Scheduled
TP 6755,1​9​:​3​0,Odesa,TAP Portugal,D,D18,Scheduled
AF 3368,1​9​:​3​0,Paris,Air France,D,D6,Scheduled
PS 715,1​9​:​3​0,Istanbul,Ukraine International Airlines,D,D12,Scheduled
TK 8815,1​9​:​3​0,Istanbul,Turkish Airlines,D,D12,Scheduled
PS 71,1​9​:​3​0,Dnipro,Ukraine International Airlines,D,D19,Scheduled
PS 777,1​9​:​3​0,Tel Aviv,Ukraine International Airlines,D,D1,Scheduled
KL 3139,1​9​:​3​0,Odesa,KLM,D,D18,Scheduled
PS 55,1​9​:​3​0,Odesa,Ukraine International Airlines,D,D18,Scheduled
PS 33,1​9​:​3​5,Lviv,Ukraine International Airlines,D,D20,Scheduled
PS 183,1​9​:​3​5,Vilnius,Ukraine International Airlines,D,D7,Scheduled
TP 8246,1​9​:​3​5,Lviv,TAP Portugal,D,D20,Scheduled
KL 3137,1​9​:​3​5,Lviv,KLM,D,D20,Scheduled
PS 23,1​9​:​4​0,Kharkiv,Ukraine International Airlines,D,D21,Scheduled
PS 897,1​9​:​4​0,Chisinau,Ukraine International Airlines,D,D10,Scheduled
TP 8231,1​9​:​4​0,Kharkiv,TAP Portugal,D,D21,Scheduled
9U 9897,1​9​:​4​0,Chisinau,Air Moldova,D,D10,Scheduled
PS 893,1​9​:​4​0,Minsk,Ukraine International Airlines,D,D11,Scheduled
PS 751,1​9​:​5​0,Tehran,Ukraine International Airlines,D,D15,Scheduled
PS 843,1​9​:​5​0,Vienna,Ukraine International Airlines,D,D5,Scheduled
PS 721,2​0​:​0​0,Ankara,Ukraine International Airlines,D,D16,Scheduled
PS 803,2​0​:​0​0,Warsaw,Ukraine International Airlines,D,D4,Scheduled
PS 307,2​0​:​0​5,Rome,Ukraine International Airlines,D,D13,Scheduled
PS 81,2​0​:​1​0,Ivano-Frankivsk,Ukraine International Airlines,D,D18,Scheduled
PS 611,2​0​:​1​0,Yerevan,Ukraine International Airlines,D,D14,Scheduled
PS 45,2​0​:​1​0,Kherson,Ukraine International Airlines,D,D22,Scheduled
PS 387,2​0​:​2​5,Colombo,Ukraine International Airlines,D,D9,Scheduled
PS 99,2​0​:​2​5,Vinnica,Ukraine International Airlines,D,D19,Scheduled
PS 517,2​0​:​3​0,Tbilisi,Ukraine International Airlines,D,D8,Scheduled
PS 85,2​0​:​3​0,Zaporizhzhia,Ukraine International Airlines,D,D21,Scheduled
BT 405,2​0​:​3​5,Riga,Air Baltic,D,D12,Scheduled
PS 113,2​0​:​3​5,London,Ukraine International Airlines,D,D1,Scheduled
PS 315,2​0​:​3​5,Bergamo,Ukraine International Airlines,D,D15,Scheduled
PS 925,2​0​:​4​0,Krakow,Ukraine International Airlines,D,D4,Scheduled
PS 147,2​0​:​4​0,Brussels,Ukraine International Airlines,D,D10,Scheduled
SN 4018,2​0​:​4​0,Brussels,Brussels Airlines,D,D10,Scheduled
PS 41,2​0​:​4​0,Chernivtsi,Ukraine International Airlines,D,D20,Scheduled
PS 761,2​0​:​5​5,Amman,Ukraine International Airlines,D,D11,Scheduled
PS 391,2​0​:​5​5,Delhi,Ukraine International Airlines,D,D3,Scheduled
J2 6601,2​1​:​0​0,Baku,Azerbaijan Airlines,D,D16,Scheduled
PS 601,2​1​:​0​0,Baku,Ukraine International Airlines,D,D16,Scheduled
TK 460,2​1​:​0​0,Istanbul,Turkish Airlines,D,D2,Scheduled
PS 9560,2​1​:​0​0,Istanbul,Ukraine International Airlines,D,D2,Scheduled
KC 402,2​1​:​4​0,Almaty,Air Astana,D,D5,Scheduled
QR 298,2​3​:​1​0,Doha,Qatar Airways Company,D,D8,Scheduled
EK 2160,2​3​:​1​5,Dubai,Emirates,D,D4,Scheduled
FZ 730,2​3​:​1​5,Dubai,Flydubai,D,D4,Scheduled
